W
L
L+ratio
Dank
Cheugy
TFW
Woke
Bop
G.O.A.T
Smol
Fam
Glow up
Stan
Ghosting
Salty
Sip tea
Drip
Iykyk
Rent free
Catch these hands
Drag
Bussin’
Snatched
Cancel culture
Ffs
e-boy
e-girl
Big yikes
Finna
cap
High-key
Simp
Camp
Snack
Take several seats
Sheesh
Hits different
Bet
Periodt
Finesse
I’m weak
Main character
Sis
Sending me
Gaup
"This ain’t it
Extra
Clapback
@ me
Asl
Bang 30s
Based
Beat your face
Big mad
Body count
Boujee
Bussy
Cringe
Ded
Facts
Glow-up
I oop
t's giving…
Lit
Mid
Not you
NPC
OK boomer
On god
Ratio
Rizz
Sksksk
Slaps
Sus
Slay
Tea
Understood the assignment
Valid
Vibe Check
Vibing
Wig
Word
Af
Big brain
Chad
Clapped
Clown
Cringy
fomo
Fr
I can’t even
Ion
IRL
Karen
Low key
Mom
Dad
NGL
Pick me girl
Boomer
Sleeping on
Shade
Shook
Smh
TBH
Thirsty
Thirst trap
Yas
Yeet
ick
naur
Say less
Unserious
Gagged
Ate
Poggers
Heather
Wth
Flex
Gucci
Hot girl summer
Sturdy
Skill issue
TNTL
G2G
YNK
CSL
GMTA
IMO
IMOH
JK
Bae
SSDD
WYWH
Benching
Breadcumbing
Cuffing
DTR
Gaslighting
ILY
Pink flags
Smash
Situationship
Zaddy
Zombie-ing
